"cgHdId","startDtEarly","startDtLate","endDtEarly","endDtLate","phenYear","cgPlaId","phenNote","start","end","hdCt","start.numeric","duration","midpoint","mid.yday","DAM","z","z.start","year.pop","year.pop.prop"
2006000283,"2006-07-03","2006-07-03","2006-07-15","2006-07-16",2006,137,"","2006-07-03","2006-07-20",3,13332,17,"2006-07-11",191,-1,-0.23650378325621,-0.277370727073051,150,0.108225108225108
2007000061,"2007-06-23","2007-06-23","2007-07-03","2007-07-04",2007,137,"","2007-06-23","2007-07-10",7,13687,17,"2007-07-01",181,-2,-0.671952607478397,-1.03305575101452,175,0.126262626262626
2008001234,"2008-07-15","2008-07-15","2008-07-27","2008-07-27",2008,137,"","2008-07-15","2008-07-27",1,14075,12,"2008-07-21",202,-4,-0.73525324811249,-0.38793639877404,142,0.102453102453102
2011002007,"2011-07-11","2011-07-11","2011-07-20","2011-07-24",2011,137,"","2011-07-11","2011-07-30",7,15166,19,"2011-07-20",200,-2,-0.575102940500161,-0.932157089585367,188,0.135642135642136
2012000720,"2012-06-25","2012-06-25","2012-07-05","2012-07-05",2012,137,"","2012-06-23","2012-07-05",3,15514,12,"2012-06-29",180,-4,-0.938860550711221,-1.05787731946492,47,0.0339105339105339
2013001452,"2013-07-26","2013-07-26","2013-08-06","2013-08-06",2013,137,"","2013-07-19","2013-08-06",3,15905,18,"2013-07-28",208,1,0.0836295444093691,-0.112049473192286,107,0.0772005772005772
2014000041,"2014-07-08","2014-07-08","2014-07-22","2014-07-22",2014,137,"","2014-07-05","2014-07-24",7,16256,19,"2014-07-14",194,-3,-0.748272808875631,-1.22312518486898,90,0.0649350649350649
2015001428,"2015-07-22","2015-07-22","2015-07-29","2015-07-29",2015,137,"","2015-07-17","2015-07-31",7,16633,14,"2015-07-24",204,0,0.0232822206773379,0.0333019025678,135,0.0974025974025974
2005000378,"2005-07-06","2005-07-06","2005-07-15","2005-07-15",2005,138,"","2005-07-06","2005-07-15",1,12970,9,"2005-07-10",190,-1,-0.387314217372732,0.287134649811969,104,0.075036075036075
2006000280,"2006-07-06","2006-07-06","2006-07-17","2006-07-18",2006,138,"","2006-07-02","2006-07-26",3,13331,24,"2006-07-14",194,2,0.437082941207673,-0.474553708404603,150,0.108225108225108
2007000056,"2007-06-25","2007-06-25","2007-07-05","2007-07-06",2007,138,"","2007-06-25","2007-07-06",1,13689,11,"2007-06-30",180,-3,-0.966668663389975,-0.317076517638117,175,0.126262626262626
2008001233,"2008-07-12","2008-07-12","2008-07-26","2008-07-26",2008,138,"","2008-07-12","2008-07-26",1,14072,14,"2008-07-19",200,-6,-1.09840441761501,-0.921036095153854,142,0.102453102453102
NA,"2010-06-30","2010-6-30 0:00:00","2010-7-9 0:00:00","2010-07-09",2010,138,"","2010-06-30","2010-07-09",1,14790,9,"2010-07-04",184,-3,-0.849019943040979,-0.231810033535768,100,0.0721500721500721
2011002002,"2011-07-09","2011-07-09","2011-07-14","2011-07-18",2011,138,"questionable flowering;check achene ct","2011-07-09","2011-07-30",4,15164,21,"2011-07-19",199,-3,-0.855204890795577,-1.44382287890522,188,0.135642135642136
2012000716,"2012-06-26","2012-06-26","2012-07-07","2012-07-07",2012,138,"","2012-06-26","2012-07-07",1,15517,11,"2012-07-01",182,-2,-0.451275513325281,-0.337294217800409,47,0.0339105339105339
2014000048,"2014-07-19","2014-07-19","2014-07-30","2014-07-30",2014,138,"","2014-07-12","2014-07-30",2,16263,18,"2014-07-21",201,4,0.900020441444816,0.47416306726198,90,0.0649350649350649
2015001426,"2015-07-17","2015-07-17","2015-07-25","2015-07-26",2015,138,"","2015-07-17","2015-07-31",2,16633,14,"2015-07-24",204,0,0.0232822206773379,0.0333019025678,135,0.0974025974025974
2005000432,"2005-07-04","2005-07-04","2005-07-16","2005-07-16",2005,139,"","2005-07-04","2005-07-26",2,12968,22,"2005-07-15",195,4,0.840755252345694,-0.190657407475152,104,0.075036075036075
2006000269,"2006-07-03","2006-07-03","2006-07-15","2006-07-16",2006,139,"","2006-07-03","2006-07-18",5,13332,15,"2006-07-10",190,-2,-0.461032691410837,-0.277370727073051,150,0.108225108225108
2007000048,"2007-06-26","2007-06-27","2007-07-11","2007-07-12",2007,139,"","2007-06-23","2007-07-12",4,13687,19,"2007-07-02",182,-1,-0.37723655156682,-1.03305575101452,175,0.126262626262626
2008001230,"2008-07-12","2008-07-12","2008-07-26","2008-07-26",2008,139,"","2008-07-12","2008-07-27",3,14072,15,"2008-07-19",200,-6,-1.09840441761501,-0.921036095153854,142,0.102453102453102
NA,"2010-06-29","2010-6-29 0:00:00","2010-7-13 0:00:00","2010-07-13",2010,139,"","2010-06-29","2010-07-13",1,14789,14,"2010-07-06",186,-1,-0.33289839711941,-0.483777461292042,100,0.0721500721500721
2011002000,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",2011,139,"","2011-07-11","2011-07-30",2,15166,19,"2011-07-20",200,-2,-0.575102940500161,-0.932157089585367,188,0.135642135642136
2012000715,"2012-07-06","2012-07-06","2012-07-15","2012-07-15",2012,139,"","2012-07-06","2012-07-15",1,15527,9,"2012-07-10",191,7,1.74285715491145,2.06464945441461,47,0.0339105339105339
2015001424,"2015-07-11","2015-07-11","2015-07-22","2015-07-23",2015,139,"","2015-07-09","2015-07-23",2,16625,14,"2015-07-16",196,-8,-1.77277480300306,-1.67936737234752,135,0.0974025974025974
